track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Agudo Mgi,Styrx,3,1930,1,1,323,0,90598517.00,4,0,130,F#,Minor,65,49,80,22,4,7,5
White Christmas,Bing Crosby,3,1942,1,1,11940,0,395591396.00,73,79,96,A,Major,23,19,25,91,0,40,3
The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,1,1946,11,1,11500,0,389771964.00,140,72,139,C#,Major,36,22,15,84,0,11,4
Let It Snow! Let It Snow! Let It Snow!,Frank Sinatra,2,1950,1,1,10585,0,473248298.00,126,108,143,D,Major,60,86,32,88,0,34,6
A Holly Jolly Christmas - Single Version,Burl Ives,1,1952,1,1,7930,0,395591396.00,108,120,140,,Major,67,81,36,64,0,15,3
Jingle Bell Rock,Bobby Helms,1,1957,1,1,10326,0,741301563.00,165,99,119,D,Major,74,78,37,84,0,6,3
Jingle Bells - Remastered 1999,Frank Sinatra,1,1957,1,1,4326,0,178660459.00,32,3,175,G#,Major,51,94,34,73,0,10,5
Rockin' Around The Christmas Tree,Brenda Lee,1,1958,1,1,14994,0,769213520.00,191,168,140,G#,Major,70,85,41,71,0,45,5
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,3,1958,1,1,6290,0,295998468.00,89,39,113,G,Major,73,72,32,77,0,15,5
Run Rudolph Run - Single Version,Chuck Berry,1,1958,1,1,8612,0,245350949.00,120,30,152,G,Minor,69,94,71,79,0,7,8
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1,1959,11,16,6512,0,446390129.00,88,1,134,C#,Major,45,72,24,91,0,18,4
Deck The Hall - Remastered 1999,Nat King Cole,1,1959,1,1,3299,0,127027715.00,65,39,107,F#,Minor,69,96,36,81,0,8,4
It's the Most Wonderful Time of the Year,Andy Williams,1,1963,10,14,8879,0,663832097.00,182,107,202,G,Major,24,76,60,77,0,12,4
Sleigh Ride,The Ronettes,1,1963,11,22,10114,0,404664135.00,114,74,92,D,Major,53,84,77,40,0,32,3
Christmas (Baby Please Come Home),Darlene Love,1,1963,11,22,9122,0,242767149.00,121,58,126,D#,Major,34,35,76,39,0,8,5
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1968,7,1,15890,14,1145727611.00,71,37,116,,Major,74,76,70,7,0,13,3
Feliz Navidad,Jos Felic,1,1970,11,1,3788,0,520034544.00,21,3,148,D,Major,50,96,82,47,0,34,4
Happy Xmas (War Is Over),John Lennon,4,1971,12,1,10829,0,460492795.00,130,1,147,D,Major,33,39,61,32,0,77,3
Dream On,Aerosmith,1,1973,1,5,168,0,838586769.00,0,0,80,F,Minor,39,24,43,39,0,23,3
Bohemian Rhapsody - Remastered 2011,Queen,1,1975,10,31,40112,3,2197010679.00,321,162,71,,Minor,41,23,40,27,0,30,5
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673.00,300,65,102,C#,Major,48,50,73,43,0,15,4
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1,1979,11,16,1685,0,403939487.00,1,0,95,B,Major,75,74,58,36,0,9,3
Pass The Dutchie,Musical Youth,1,1982,1,1,5328,0,195918494.00,54,76,151,G,Major,73,88,67,20,0,32,5
Miss You,Southstar,1,1982,5,16,2020,0,154356956.00,77,10,145,A,Major,66,24,58,17,0,19,5
Every Breath You Take - Remastered 2003,The Police,1,1983,1,6,22439,19,1593270737.00,211,74,117,C#,Major,82,73,45,54,0,7,3
Take On Me,a-ha,1,1984,10,19,44927,17,1479115056.00,34,0,84,F#,Minor,57,86,90,2,0,9,5
Last Christmas,Wham!,1,1984,1,1,22153,0,1159176109.00,274,111,107,B,Minor,74,88,65,28,0,46,3
Do They Know It's Christmas? - 1984 Version,Band Aid,1,1984,11,25,14169,0,481697415.00,209,30,115,,Major,60,23,57,0,2,27,3
Merry Christmas Everyone,Shakin' Stevens,1,1984,1,1,1087,0,351636786.00,90,35,101,C#,Minor,72,91,87,14,0,13,3
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,41751,25,1205951614.00,101,32,112,G,Major,64,54,81,36,0,11,6
Running Up That Hill (A Deal With God),Kate Bush,1,1985,9,16,21811,0,1024858327.00,117,1,108,A#,Minor,63,20,55,72,0,6,6
Master of Puppets (Remastered),Metallica,1,1986,3,3,6080,0,704171068.00,112,198,105,E,Minor,54,59,83,0,44,20,4
Driving Home for Christmas - 2019 Remaster,Chris Rea,1,1986,1,1,888,0,429504768.00,50,0,180,A,Major,51,87,58,36,0,18,4
Sweet Child O' Mine,Guns N' Roses,1,1987,1,1,41231,1,1553497987.00,228,151,125,F#,Major,45,67,90,9,11,10,5
Smells Like Teen Spirit - Remastered 2021,Nirvana,1,1991,9,10,49991,9,1690192927.00,265,121,117,C#,Major,52,73,91,0,0,11,7
Something In The Way - Remastered 2021,Nirvana,1,1991,9,24,9514,0,368646862.00,45,27,106,G#,Major,44,8,20,74,42,11,3
Creep,Radiohead,1,1992,9,21,36724,7,1271293243.00,146,72,92,G,Major,53,12,34,1,0,12,4
All I Want for Christmas Is You,Mariah Carey,1,1994,10,28,25653,0,1449779435.00,387,132,150,G,Major,34,33,63,16,0,7,4
Gangsta's Paradise,Coolio,2,1995,7,11,10624,17,1357608774.00,21,0,80,G#,Major,63,40,61,9,0,56,6
California Love - Original Version (Explicit),Dr. Dre,3,1995,12,28,18773,0,579395142.00,128,17,92,G,Major,77,76,84,3,0,38,4
Sigue,Ed Sheeran,2,1996,11,24,1370,0,106933107.00,46,8,88,G,Major,89,59,64,5,0,19,7
Cupid  Twin Ver. (FIFTY FIFTY)  Spe,sped up 8282,1,1997,1,1,472,2,103762518.00,0,0,144,F,Major,74,75,73,42,0,9,4
Iris,The Goo Goo Dolls,1,1998,3,31,13101,9,1284942608.00,137,5,156,B,Minor,32,49,72,0,0,9,4
Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421.00,196,2,173,B,Major,43,28,66,0,0,23,3
Still D.R.E.,Dr. Dre,2,1999,1,1,33966,0,1210599487.00,141,78,93,B,Major,81,53,78,18,0,6,24
Stan,Eminem,2,1999,11,21,17115,0,918915401.00,83,63,80,F#,Minor,78,53,74,4,0,45,21
The Next Episode,Dr. Dre,2,1999,1,1,31762,0,843309044.00,142,40,95,D#,Minor,92,31,89,3,0,8,25
Forgot About Dre,Eminem,2,1999,1,1,19067,0,675039469.00,78,15,134,G#,Major,93,61,74,9,0,17,8
In The End,Linkin Park,1,2000,10,24,25065,6,1624165576.00,63,0,105,D#,Minor,55,40,90,1,0,32,6
The Real Slim Shady,Eminem,1,2000,1,1,20763,27,1424589568.00,81,53,104,F,Minor,95,78,66,3,0,4,6
Sparks,Coldplay,1,2000,7,10,10826,4,624101957.00,24,0,103,C#,Major,37,17,27,75,5,10,3
My Only Wish (This Year),Britney Spears,1,2000,11,7,6952,0,261116938.00,115,53,147,,Major,67,69,72,17,0,19,3
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,32502,21,1829992958.00,247,54,171,D,Major,70,6,73,1,0,36,26
'Till I Collapse,Eminem,2,2002,5,26,22923,0,1695712020.00,78,46,171,C#,Major,55,10,85,7,0,8,20
Without Me,Eminem,1,2002,1,1,21081,43,1687664027.00,98,76,112,G,Major,92,67,66,0,0,36,9
The Scientist,Coldplay,1,2002,8,5,30992,6,1608164312.00,124,25,146,F,Major,56,21,44,73,0,11,2
In Da Club,50 Cent,1,2002,1,1,30427,7,1202722675.00,235,106,90,F#,Minor,90,79,71,26,0,7,37
Superman,Eminem,2,2002,5,26,7615,14,655466831.00,18,51,130,E,Minor,80,64,76,2,0,20,6
Mr. Brightside,The Killers,1,2003,9,23,51979,15,1806617704.00,306,99,148,C#,Major,35,24,93,0,0,10,8
Numb,Linkin Park,1,2003,3,24,20111,5,1361425037.00,39,0,110,A,Major,50,24,86,0,0,64,4
Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043.00,49,98,84,E,Minor,62,24,67,21,0,13,28
Somewhere Only We Know,Keane,1,2004,1,1,20015,16,1089402494.00,107,69,172,A,Major,45,33,59,6,0,8,3
Gasolina,Daddy Yankee,1,2004,7,13,6457,18,657723613.00,98,95,96,,Major,86,74,80,33,0,8,6
Yo Voy (feat. Daddy Yankee),Zion & Lennox,1,2004,5,4,2954,2,527033089.00,18,82,95,A#,Major,81,56,70,4,0,5,24
You Make It Feel Like Christmas (feat. Blake Shelton),Gwen Stefani,2,2005,9,20,2577,0,180577478.00,108,56,93,F,Major,63,93,88,1,0,12,4
